PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2   1.000  index, nleg, degeneracy, r=  2.7563
    0.000000    0.000000    0.000000   0 'Ag    '     4.9023  180.0000    0.0000
    46    2   1.000  index, nleg, degeneracy, r=  4.9070
      x           y           z     ipot  label      rleg      beta        eta
   -1.324500    2.665000    3.901500   2 'Ag    '     4.9070  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     4.9070  180.0000    0.0000
    47    2   1.000  index, nleg, degeneracy, r=  4.9275
      x           y           z     ipot  label      rleg      beta        eta
    4.496500    0.357000    1.983500   2 'Ag    '     4.9275  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     4.9275  180.0000    0.0000
    48    2   1.000  index, nleg, degeneracy, r=  4.9367
      x           y           z     ipot  label      rleg      beta        eta
   -2.498000   -0.911000    4.159500   2 'Ag    '     4.9367  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     4.9367  180.0000    0.0000
    49    2   1.000  index, nleg, degeneracy, r=  4.9492
      x           y           z     ipot  label      rleg      beta        eta
    3.467500    2.941500    1.954000   2 'Ag    '     4.9492  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     4.9492  180.0000    0.0000
    50    2   1.000  index, nleg, degeneracy, r=  4.9650
      x           y           z     ipot  label      rleg      beta        eta
   -4.508500   -0.438000    2.033000   2 'Ag    '     4.9650  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     4.9650  180.0000    0.0000
    51    2   1.000  index, nleg, degeneracy, r=  4.9865
      x           y           z     ipot  label      rleg      beta        eta
    4.547000    0.168000   -2.040000   2 'Ag    '     4.9865  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     4.9865  180.0000    0.0000
    52    2   1.000  index, nleg, degeneracy, r=  5.0159
      x           y           z     ipot  label      rleg      beta        eta
    3.479000    2.977500   -2.047000   2 'Ag    '     5.0159  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     5.0159  180.0000    0.0000
    53    2   1.000  index, nleg, degeneracy, r=  5.0376
      x           y           z     ipot  label      rleg      beta        eta
   -3.100000    3.331000   -2.161500   2 'Ag    '     5.0376  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     5.0376  180.0000    0.0000
    54    2   1.000  index, nleg, degeneracy, r=  5.0419
      x           y           z     ipot  label      rleg      beta        eta
   -2.504000   -1.125500   -4.229000   2 'Ag    '     5.0419  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     5.0419  180.0000    0.0000
    55    2   1.000  index, nleg, degeneracy, r=  5.0510
      x           y           z     ipot  label      rleg      beta        eta
   -0.420500    4.690000    1.827500   2 'Ag    '     5.0510  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     5.0510  180.0000    0.0000
    56    2   1.000  index, nleg, degeneracy, r=  5.0551
      x           y           z     ipot  label      rleg      beta        eta
    2.885000   -3.534000    2.177500   2 'Ag    '     5.0551  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     5.0551  180.0000    0.0000
    57    2   1.000  index, nleg, degeneracy, r=  5.0825
      x           y           z     ipot  label      rleg      beta        eta
    2.964000   -3.523500   -2.152000   2 'Ag    '     5.0825  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     5.0825  180.0000    0.0000
    58    2   1.000  index, nleg, degeneracy, r=  5.0947
      x           y           z     ipot  label      rleg      beta        eta
    2.773500    1.000000   -4.155000   2 'Ag    '     5.0947  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     5.0947  180.0000    0.0000
    59    2   1.000  index, nleg, degeneracy, r=  5.1053
      x           y           z     ipot  label      rleg      beta        eta
    0.189000   -4.670000    2.054500   2 'Ag    '     5.1054  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     5.1054  180.0000    0.0000
    60    2   1.000  index, nleg, degeneracy, r=  5.1142
      x           y           z     ipot  label      rleg      beta        eta
   -3.418500   -3.000500    2.338000   2 'Ag    '     5.1142  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     5.1142  180.0000    0.0000
    61    2   1.000  index, nleg, degeneracy, r=  5.1460
      x           y           z     ipot  label      rleg      beta        eta
   -4.671500   -0.561500   -2.084000   2 'Ag    '     5.1460  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     5.1460  180.0000    0.0000
    62    2   1.000  index, nleg, degeneracy, r=  5.1634
      x           y           z     ipot  label      rleg      beta        eta
    2.791500    1.142000    4.191000   2 'Ag    '     5.1634  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     5.1634  180.0000    0.0000
    63    2   1.000  index, nleg, degeneracy, r=  5.1833
      x           y           z     ipot  label      rleg      beta        eta
    1.068000   -2.868500   -4.183000   2 'Ag    '     5.1833  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     5.1833  180.0000    0.0000
    64    2   1.000  index, nleg, degeneracy, r=  5.2057
      x           y           z     ipot  label      rleg      beta        eta
   -3.656500   -3.107000   -2.019000   2 'Ag    '     5.2057  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     5.2057  180.0000    0.0000
    65    2   1.000  index, nleg, degeneracy, r=  5.2074
      x           y           z     ipot  label      rleg      beta        eta
    0.219500   -4.763000   -2.093500   2 'Ag    '     5.2074  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     5.2074  180.0000    0.0000
    66    2   1.000  index, nleg, degeneracy, r=  5.4052
      x           y           z     ipot  label      rleg      beta        eta
    1.505500    3.604500    3.736000   2 'Ag    '     5.4052  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     5.4052  180.0000    0.0000
    67    3   2.000  index, nleg, degeneracy, r=  5.4075
      x           y           z     ipot  label      rleg      beta        eta
