cpu-bind=MASK - cn045, task  0  0 [2772101]: mask 0x51390200513902 set
cpu-bind=MASK - cn045, task  0  0 [2772189]: mask 0x51390200513902 set
cpu-bind=MASK - cn045, task  1  1 [2772190]: mask 0x51390200513902 set
LAMMPS (12 Jun 2025 - Development - patch_12Jun2025-673-gd34d6b79e3-modified)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (50 50 50)
  1 by 1 by 2 MPI processor grid
  reading atoms ...
  147 atoms
  read_data CPU = 0.001 seconds
Loading MACE model from 'mace-mpa-0-medium-47-79.json' ... success
  mapping LAMMPS type 1 (Ag) to MACE type 0
  mapping LAMMPS type 2 (Au) to MACE type 1
System init for write_data ...
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 13 13 13
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair symmetrix/mace, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.002
Per MPI rank memory allocation (min/avg/max) = 3.404 | 3.467 | 3.53 Mbytes
   Step          Temp          Press            Lx             Ly             Lz           Volume         TotEng         PotEng
       214   172.7789      -119.15676      50             50             50             125000        -2.7526842     -2.7748657
       215   174.22405     -123.19875      50             50             50             125000        -2.7526597     -2.7750267
       216   175.54914     -127.03761      50             50             50             125000        -2.7526349     -2.7751721
       217   176.73922     -130.65132      50             50             50             125000        -2.75261       -2.7753
       218   177.78171     -134.02389      50             50             50             125000        -2.752585      -2.7754087
       219   178.66664     -137.14034      50             50             50             125000        -2.7525598     -2.7754971
       220   179.38676     -139.98971      50             50             50             125000        -2.7525344     -2.7755643
       221   179.93769     -142.56291      50             50             50             125000        -2.752509      -2.7756096
       222   180.31796     -144.85415      50             50             50             125000        -2.7524836     -2.7756329
       223   180.52906     -146.85813      50             50             50             125000        -2.752458      -2.7756345
       224   180.57542     -148.57598      50             50             50             125000        -2.7524325     -2.7756149
       225   180.46433     -150.01204      50             50             50             125000        -2.7524069     -2.7755751
       226   180.2058      -151.17279      50             50             50             125000        -2.7523814     -2.7755163
       227   179.81239     -152.06551      50             50             50             125000        -2.7523558     -2.7754403
       228   179.29909     -152.70369      50             50             50             125000        -2.7523304     -2.7753489
       229   178.68305     -153.10144      50             50             50             125000        -2.7523049     -2.7752444
       230   177.98322     -153.27371      50             50             50             125000        -2.7522796     -2.7751292
       231   177.21993     -153.24193      50             50             50             125000        -2.7522543     -2.775006
       232   176.41464     -153.02262      50             50             50             125000        -2.7522292     -2.7748774
       233   175.5895      -152.63652      50             50             50             125000        -2.7522041     -2.7747464
       234   174.7669      -152.10396      50             50             50             125000        -2.7521791     -2.7746158
       235   173.96901     -151.44612      50             50             50             125000        -2.7521542     -2.7744885
       236   173.21733     -150.6833       50             50             50             125000        -2.7521294     -2.7743672
       237   172.53213     -149.83314      50             50             50             125000        -2.7521047     -2.7742545
       238   171.9321      -148.91423      50             50             50             125000        -2.75208       -2.7741528
       239   171.43397     -147.94475      50             50             50             125000        -2.7520554     -2.7740642
       240   171.05201     -146.93774      50             50             50             125000        -2.7520308     -2.7739906
